,ID_TARIFA1,ADREÇA,_id,ID_HORARIO1,PLACES,COLOR_RGB,TIPUS_TRAM,ID_TRAM,ID_TARIFA,LONGITUD_F,LATITUD_F,LONGITUD_I,ID_HORARIO,UTM_IX,UTM_IY,UTM_FY,UTM_FX,LATITUD_I
0,,"ROGER DE FLOR, 79, C",1,82,5,0000FF,AZL,7,46,2.178925470618,41.39383413787,2.17906934937,82,431371.206,4582803.652,4582803.655,431359.176,41.393835137424
1,,"LLUIS EL PIADOS, 3, C",2,76,7,008000,VR,8,52,2.178456946459,41.390453699793,2.178684303209,76,431335.142,4582395.404,4582428.724,431316.447,41.390155201435
2,,"MENDEZ NUÑEZ, 7, C",3,81,11,0000FF,AZL,13,46,2.177809334868,41.389705823523,2.177888055958,81,431268.032,4582339.517,4582346.207,431261.513,41.389646127507
3,,"MENDEZ NUÑEZ, 7, C",4,81,11,0000FF,AZL,13,46,2.177932258973,41.389612116698,2.178133064005,81,431288.321,4582318.640,4582335.706,431271.692,41.389459833457
4,,"MENDEZ NUÑEZ, 4, C",5,81,2,0000FF,AZL,14,46,2.17819122357,41.389597798479,2.178344531553,81,431306.034,4582321.860,4582333.911,431293.329,41.389490346974
5,52,"ALI BEI, 42, C",6,13,9,00FF00,VM,19,54,2.180487585578,41.393332951167,2.180596052558,13,431498.403,4582755.634,4582746.776,431489.250,41.393413509752
6,52,"ALI BEI, 42, C",7,13,9,00FF00,VM,19,54,2.180631855917,41.393438894904,2.180740581368,13,431510.599,4582767.432,4582758.424,431501.423,41.393520806279
7,52,"ALI BEI, 42, C",8,13,9,00FF00,VM,19,54,2.180775196739,41.393546507189,2.180845648017,13,431519.465,4582776.011,4582770.258,431513.520,41.393598827397
8,,"PORTAL NOU, 31, C",9,76,25,008000,VR,22,52,2.180588233114,41.388443815513,2.180568735119,76,431490.766,4582189.556,4582203.896,431492.532,41.388314512736
9,,"PORTAL NOU, 31, C",10,76,25,008000,VR,22,52,2.18064226559,41.388672696114,2.180588233114,76,431492.532,4582203.896,4582229.264,431497.290,41.388443815513
10,,"PORTAL NOU, 31, C",11,76,25,008000,VR,22,52,2.180674728159,41.388808702502,2.18064226559,76,431497.290,4582229.264,4582244.338,431500.147,41.388672696114
11,,"PORTAL NOU, 31, C",12,76,25,008000,VR,22,52,2.180772472336,41.389214112029,2.180684645837,76,431501.015,4582248.431,4582289.270,431508.745,41.38884563978
12,,"PORTAL NOU, 31, C",13,76,25,008000,VR,22,52,2.180825369515,41.389419196298,2.180806216875,76,431511.690,4582302.318,4582311.997,431513.383,41.389331878815
13,,"PORTAL NOU, 31, C",14,76,25,008000,VR,22,52,2.180870415445,41.389762900199,2.180825369515,76,431513.383,4582311.997,4582350.120,431517.510,41.389419196298
14,,"BASSES DE SANT PERE, 3, C",15,76,5,008000,VR,23,52,2.180112484326,41.388446812855,2.180111652106,76,431452.732,4582209.318,4582204.605,431452.757,41.388489258082
