,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,C Casp,Telèfons,8013,55734072,932650135,BARCELONA,2.1833714894413228,41.39902924346256,Karaokes,651,Eixample,431735.86723206594,171,﻿75990481637,,True,2,,,5,1,Bar Restaurant Menta,71600,1998-01-17T00:00:00,4583376.352514069,,2021-03-03T22:14:49.968075,65103002003004,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Karaokes,,154465,el Fort Pienc,True,20001
1,,,Tel.,C Casp,Telèfons,8013,60731068,932650135,BARCELONA,2.1833714894413228,41.39902924346256,Restaurants,651,Eixample,431735.86723206594,171,﻿75990481637,,True,2,,,5,2,Bar Restaurant Menta,71600,1998-01-17T00:00:00,4583376.352514069,,2021-03-03T22:14:49.968075,65103007000000,Planol BCN >> Restaurants >> Restaurants >> Restaurants,,154465,el Fort Pienc,True,20001
2,,,Tel.,C Diputació,Telèfons,8015,55734070,934878342,BARCELONA,2.154607047681956,41.38091560383053,Discoteques,651,Eixample,429311.73020414024,94,﻿98036121225,,True,2,,,9,3,Discoteca Sala Tango,100800,1998-02-05T00:00:00,4581388.466412037,,2021-03-03T22:15:49.295657,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,199592,la Nova Esquerra de l'Eixample,True,20001
3,,,Tel.,C Diputació,Telèfons,8015,55734074,934878342,BARCELONA,2.154607047681956,41.38091560383053,Salons de ball,651,Eixample,429311.73020414024,94,﻿98036121225,,True,2,,,9,4,Discoteca Sala Tango,100800,1998-02-05T00:00:00,4581388.466412037,,2021-03-03T22:15:49.295657,65103002003006,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Salons de ball,,199592,la Nova Esquerra de l'Eixample,True,20001
4,,,,C Felip II,,8027,55734070,,BARCELONA,2.1903723127083876,41.41759885408637,Discoteques,651,Sant Andreu,432340.3589451016,25,﻿75990212293,,True,9,,,63,5,Discoteca Bailodromo,121402,1996-09-18T00:00:00,4585432.435586386,,2021-03-03T22:14:36.920367,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,,Navas,,
5,,,Tel.,C Balmes,Telèfons,8007,55734070,934878342,BARCELONA,2.163946797517224,41.388494740169584,Discoteques,651,Eixample,430100.80635910295,32,﻿75990212297,,True,2,,,7,6,Discoteca Arena,32700,1996-09-18T00:00:00,4582222.314438714,,2021-03-03T22:15:56.250240,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,147164,la Dreta de l'Eixample,True,20001
6,,,Tel.,Pl Vicenç Martorell,Telèfons,8001,55734069,933024095,BARCELONA,2.1688232815018913,41.384400652902265,Cocteleries,651,Ciutat Vella,430504.1545332285,5,﻿75990691308,,True,1,,,1,7,Bar Cafeteria Cafè d'Annunzio,358605,2001-03-10T00:00:00,4581763.872995466,,2021-05-28T14:37:34.313425,65103002003001,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,,157798,el Raval,True,20001
7,,,Tel.,Pl Vicenç Martorell,Telèfons,8001,55734076,933024095,BARCELONA,2.1688232815018913,41.384400652902265,Xampanyeries,651,Ciutat Vella,430504.1545332285,5,﻿75990691308,,True,1,,,1,8,Bar Cafeteria Cafè d'Annunzio,358605,2001-03-10T00:00:00,4581763.872995466,,2021-05-28T14:37:34.313425,65103002003008,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,,157798,el Raval,True,20001
8,,,Tel.,C Guàrdia,Telèfons,8001,55734068,933024118,BARCELONA,2.1741957745420204,41.37769573234636,Bars i pubs musicals,651,Ciutat Vella,430946.2673889262,14,﻿75990490801,,True,1,,,1,9,Bar Musical La Concha,151505,1998-03-28T00:00:00,4581015.209393106,,2021-03-03T22:14:56.592009,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,154955,el Raval,True,20001
9,,,Tel.,Pl Eivissa,Telèfons,8032,55734068,934290484,BARCELONA,2.160648914863765,41.43083189686833,Bars i pubs musicals,651,Horta-Guinardó,429870.62761662237,11,﻿99400019767,,True,7,,,43,10,Discoteca Louise se va,159507,2002-09-28T14:36:11,4586925.205535261,,2021-03-03T22:15:59.543975,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,205750,Horta,True,20001
10,,,Tel.,C Provença,Telèfons,8029,55734070,933211075,BARCELONA,2.147176397035106,41.38423837354681,Discoteques,651,Eixample,428694.0341302013,43,﻿75990102529,,True,2,,,9,11,Discoteca Performance con Atxé,268003,1996-09-18T00:00:00,4581763.442622735,,2021-03-03T22:14:23.091840,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,142412,la Nova Esquerra de l'Eixample,True,20001
11,,,Tel.,Pl Reial,Telèfons,8002,55734070,933025680,BARCELONA,2.1756129701103344,41.38024675735264,Discoteques,651,Ciutat Vella,431067.4681526092,10,﻿75990177420,,True,1,,,2,12,Discoteca Karma,276001,1996-09-18T00:00:00,4581297.291664487,,2021-03-03T22:14:29.443402,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,147106,el Barri Gòtic,True,20001
12,,,Tel.,C Sant Pau,Telèfons,8001,55734068,653582424,BARCELONA,2.168031886207854,41.37558521331062,Bars i pubs musicals,651,Ciutat Vella,430428.5894700885,126,﻿99400165173,,True,1,,,1,13,Bar Ultramarinos,308505,2006-07-19T12:45:22,4580785.83252604,,2021-05-28T14:37:51.159343,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,216238,el Raval,True,20001
13,,,Tel.,C Sant Pau,Telèfons,8001,55734069,653582424,BARCELONA,2.168031886207854,41.37558521331062,Cocteleries,651,Ciutat Vella,430428.5894700885,126,﻿99400165173,,True,1,,,1,14,Bar Ultramarinos,308505,2006-07-19T12:45:22,4580785.83252604,,2021-05-28T14:37:51.159343,65103002003001,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,,216238,el Raval,True,20001
14,,,Tel.,C Sant Pau,Telèfons,8001,55734076,653582424,BARCELONA,2.168031886207854,41.37558521331062,Xampanyeries,651,Ciutat Vella,430428.5894700885,126,﻿99400165173,,True,1,,,1,15,Bar Ultramarinos,308505,2006-07-19T12:45:22,4580785.83252604,,2021-05-28T14:37:51.159343,65103002003008,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,,216238,el Raval,True,20001
