,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Centraleta,Pl Catalunya,Telèfons,8002,58731071,933063800,BARCELONA,2.1712240139667,41.3878341438606,Grans centres comercials,651,Eixample,430708.5304682953,14,﻿75990037167,,True,2,,,7,1,El Corte Inglés *Plaça Catalunya,74404,1996-09-17T00:00:00,4582143.131336454,,2021-03-03T22:14:11.756905,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,136038,la Dreta de l'Eixample,True,20003
1,,,Tel.,G.V. Corts Catalanes,Telèfons,8015,58731071,931491000,BARCELONA,2.1499752959539173,41.376038338441205,Grans centres comercials,651,Eixample,428919.128134815,373,﻿99400266477,,True,2,,,9,2,Botiga FNAC *Arenas de Barcelona,169409,2011-03-16T17:17:50,4580850.788577912,,2021-03-03T22:14:46.294070,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,223858,la Nova Esquerra de l'Eixample,True,20001
2,,,Tel.,Pg Zona Franca,Telèfons,8038,58731071,933320413,BARCELONA,2.137597920035629,41.361780784843724,Grans centres comercials,651,Sants-Montjuïc,427868.34868990397,191,﻿99400230868,,True,3,,,13,3,Botiga Wala,369408,2009-07-31T12:04:13,4579278.164710391,,2021-03-03T22:16:17.793469,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,221932,la Marina de Port,True,20001
3,,,Informació,Av Diagonal,Telèfons,8029,58731071,934440000,BARCELONA,2.1353959606306443,41.38974559970474,Grans centres comercials,651,Les Corts,427715.1435128675,557,﻿93308093528,,True,4,,,19,4,Centre Comercial L'Illa Diagonal,144601,1993-11-04T00:00:00,4582384.607353548,,2021-03-03T22:15:37.841486,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,174627,les Corts,True,20006
4,,,Tel.,Canuda,Telèfons,8002,58731071,933426161,BARCELONA,2.1728468792676874,41.38472160539274,Grans centres comercials,651,Ciutat Vella,430840.91625275905,20,﻿99314112605,,True,1,,,2,5,Botiga Decathlon *Plaça Vila de Madrid,61402,1999-11-10T00:00:00,4581796.285748212,,2021-03-03T22:15:48.743429,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,204764,el Barri Gòtic,True,20001
5,,,Centraleta,Passeig de la Zona Franca,Telèfons,8038,58731071,93 223 19 23,Barcelona,2.140509577214321,41.35776661614147,Grans centres comercials,651,Sants-Montjuïc,428107.4654593939,123,﻿75990136782,,True,3,,,13,6,Botiga Bauhaus *Passeig Zona Franca,369408,1996-09-18T00:00:00,4578830.10113759,,2021-08-06T14:14:02.550906,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,145329,la Marina de Port,True,20003
6,,,Tel.,Av Meridiana,Telèfons,8027,58731071,932748500,BARCELONA,2.1850127147696314,41.427946836572545,Grans centres comercials,651,Sant Andreu,431903.2719562669,350,﻿75990087782,,True,9,,,61,7,Hipercor *Avinguda Meridiana,209900,1996-09-18T00:00:00,4586585.460260933,,2021-03-03T22:14:22.258519,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,140886,la Sagrera,True,20001
7,,,Tel.,Pg Potosí,Telèfons,8030,58731071,931790560,BARCELONA,2.1983701695643023,41.4425624486565,Grans centres comercials,651,Sant Andreu,433034.3956556532,2,﻿99400258593,,True,9,,,59,8,Botiga FNAC *La Maquinista,701357,2010-11-04T16:10:53,4588197.655780305,,2021-03-03T22:16:20.117902,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,223408,el Bon Pastor,True,20001
8,,,Centraleta,Av Diagonal,Telèfons,8019,58731071,933562000,BARCELONA,2.216422759940968,41.41045744398306,Grans centres comercials,651,Sant Martí,434510.2090325903,33,﻿1317124106,,True,10,,,69,9,Hipermercat Alcampo *Diagonal Mar,144601,2001-11-13T00:00:00,4584619.5799381975,,2021-03-03T22:14:09.511065,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,i atenció al client,133054,Diagonal Mar i el Front Marítim del Poblenou,True,20003
9,,,Atenció al client,Av Diagonal,Telèfons,8018,58731071,902100632,BARCELONA,2.1925213552739606,41.40497574863421,Grans centres comercials,651,Sant Martí,432506.888609326,208,﻿1317130426,,True,10,,,66,10,Botiga FNAC *Glòries,144601,2001-11-13T00:00:00,4584029.356299913,,2021-03-03T22:14:09.530286,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,134059,el Parc i la Llacuna del Poblenou,True,20005
