,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Pl Pau Vila,Telèfons,8039,55732070,932254700,BARCELONA,2.1858736814996145,41.38083864121991,Auditoris,651,Ciutat Vella,431926.05979299155,1,﻿62172326,96025141508,True,1,,,3,1,Auditori,248050,2000-03-02T00:00:00,4581354.891276275,Museu d'Història de Catalunya,2018-07-26T15:59:18,65103002001002,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Auditoris",,128983,la Barceloneta,True,20001
1,,,Tel.,Lluís Borrassà,Telèfons,8019,55732068,933052201,BARCELONA,2.218287943866846,41.41553313569244,Teatres,651,Sant Martí,434671.1843599335,16,﻿93202181153,92168166035,True,10,,,70,2,Teatre,182203,1993-07-21T00:00:00,4585181.66848911,Centre Educatiu Sagrat Cor Besòs,2018-07-26T14:31:12,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,174771,el Besòs i el Maresme,True,20001
2,,,Tel.,Pl Urquinaona,Telèfons,8010,55732068,902332211,BARCELONA,2.1736169049485072,41.38888805495527,Teatres,651,Ciutat Vella,430909.71048912965,9,﻿75990094613,,True,1,,,4,3,Teatre Borràs,232902,1996-09-18T00:00:00,4582258.224254581,,2021-03-03T22:14:23.545731,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,141428,"Sant Pere, Santa Caterina i la Ribera",True,20001
3,,,,Passeig de Gràcia,,8007,55732069,,Barcelona,2.1676607608778427,41.389557159444486,Cinemes,651,Eixample,430412.45230611257,13,﻿75990063415,,True,2,,,7,4,Cinema Comèdia,148307,1996-09-18T00:00:00,4582337.273381294,,2021-07-19T14:08:50.961605,65103002001001,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Cinemes",,,la Dreta de l'Eixample,,
4,,,Centraleta,C Muntaner,Telèfons,8021,55732068,932097711,BARCELONA,2.1490629497204705,41.39462416093731,Teatres,651,Sarrià-Sant Gervasi,428863.0962432487,246,﻿75990090931,,True,5,,,26,5,Luz de Gas,223606,1996-09-18T00:00:00,4582914.907423271,,2021-03-03T22:14:27.664466,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,141401,Sant Gervasi - Galvany,True,20003
5,,,Centraleta,C Muntaner,Telèfons,8021,55734070,932097711,BARCELONA,2.1490629497204705,41.39462416093731,Discoteques,651,Sarrià-Sant Gervasi,428863.0962432487,246,﻿75990090931,,True,5,,,26,6,Luz de Gas,223606,1996-09-18T00:00:00,4582914.907423271,,2021-03-03T22:14:27.664466,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,141401,Sant Gervasi - Galvany,True,20003
6,,,Tel.,C Sèneca,Telèfons,8006,55732068,932181512,BARCELONA,2.1561672909020553,41.39687680348929,Teatres,651,Gràcia,429459.44839672436,22,﻿75990119885,,True,6,,,31,7,Jove Teatre Regina,322801,1996-09-18T00:00:00,4583159.184165249,,2021-03-03T22:14:24.448837,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,144087,la Vila de Gràcia,True,20001
7,,,Tel.,C Reina Amàlia,Telèfons,8001,55732068,638330741,BARCELONA,2.165560019721226,41.377985919563486,Teatres,651,Ciutat Vella,430224.44939951884,3,﻿99400496646,,True,1,,,1,8,Ateneu del Raval,277809,2017-04-25T16:16:33,4581054.3418629095,,2021-03-24T09:14:39.688848,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,230142,el Raval,True,20001
8,,,Tel.,C Joaquín Costa,Telèfons,8001,55732068,933435323,BARCELONA,2.1646893988676155,41.384215798163275,Teatres,651,Ciutat Vella,430158.31389886036,68,﻿75990172785,,True,1,,,1,9,Teatre Goya,167709,1996-09-18T00:00:00,4581746.674092045,,2021-03-03T22:14:29.516985,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,147327,el Raval,True,20001
9,,,,C Quevedo,,8012,55732068,,BARCELONA,2.161506603010766,41.403259534425715,Teatres,651,Gràcia,429912.6528461567,36,﻿99400576665,,True,6,,,31,10,Teatre Badabadoc,272500,2018-02-09T12:23:53,4583863.453390229,,2021-03-03T22:15:27.485958,65103002001000,"Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres",,,la Vila de Gràcia,,
