,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Informació,C Lloret de Mar,Telèfons,8031,55737068,010,BARCELONA,2.1578240406820526,41.4363032747682,Parcs i jardins,651,Horta-Guinardó,429640.5107227569,81,﻿92086030289,,True,7,,,43,1,Parc de la Unitat,186204,1989-06-06T00:00:00,4587534.926547223,,2021-05-03T16:05:08.468215,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,168150,Horta,True,20006
1,,,,C Junta de Comerç,,8001,55733071,,BARCELONA,2.171863193313539,41.37933506663818,Casals i espais per a joves,651,Ciutat Vella,430752.95423079317,26,﻿75990288446,,True,1,,,1,2,Casal de l'Estudiant,175208,1996-09-18T00:00:00,4581199.06655894,,2018-07-26T15:43:36,65103002002003,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals i espais per a joves,,,el Raval,,
2,,,Tel.,Via Laietana,Telèfons,8003,55731068,932 684 552,BARCELONA,2.179557797184426,41.38352491562744,Biblioteques,651,Ciutat Vella,431400.769838399,18,﻿92086036656,92086036655,True,1,,,4,3,Biblioteca,177101,1991-08-20T00:00:00,4581658.097210868,Fundació Salvador Seguí,2018-07-26T14:29:25,65103002000000,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,,171429,"Sant Pere, Santa Caterina i la Ribera",True,20001
3,,,Tel.,C Montserrat,Telèfons,8001,55734068,933012978,BARCELONA,2.1749164942038908,41.37730620554267,Bars i pubs musicals,651,Ciutat Vella,431006.1228158985,9,﻿75990210217,,True,1,,,1,4,Bar Musical El Cangrejo,220200,1996-09-18T00:00:00,4580971.390833054,,2021-03-03T22:14:31.368893,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,147515,el Raval,True,20001
4,,,,Pl Lesseps,,8023,55735068,,BARCELONA,2.151145945036288,41.407168042853385,Àrees de jocs infantils,651,Gràcia,429050.87812517345,12,﻿99400393727,,True,6,,,31,5,Àrea de Joc Infantil a la Plaça Ferran Lesseps,123408,2015-08-14T12:35:36,4584305.805896722,,2021-05-04T12:40:04.662586,65103002004000,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,,,la Vila de Gràcia,,
5,,,,Sancho de Avila,,8018,55734070,,BARCELONA,2.1911766196332345,41.39947176748643,Discoteques,651,Sant Martí,432388.78287924017,78,﻿75990210325,,True,10,,,66,6,Sala Vol,311703,1996-09-18T00:00:00,4583419.360225727,,2021-03-03T22:14:31.454448,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,,,el Parc i la Llacuna del Poblenou,,
6,,,Tel.,C Maspons,Telèfons,8012,55733068,937060881,BARCELONA,2.1562145898860363,41.401030994270805,Casals d'avis,651,Gràcia,429467.8942180039,6,﻿99400332758,99400175591,True,6,,,31,7,Espai de Gent Gran La Violeta,203100,2013-12-19T00:00:00,4583620.338668872,Centre de Cultura Popular La Violeta de Gràcia,2021-11-03T12:09:33.654502,65103002002000,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,,225504,la Vila de Gràcia,True,20001
7,,,Tel.,C Maspons,Telèfons,8012,66731068,937060881,BARCELONA,2.1562145898860363,41.401030994270805,WiFi BCN,651,Gràcia,429467.8942180039,6,﻿99400332758,99400175591,True,6,,,31,8,Espai de Gent Gran La Violeta,203100,2013-12-19T00:00:00,4583620.338668872,Centre de Cultura Popular La Violeta de Gràcia,2021-11-03T12:09:33.654502,65103013000000,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,,225504,la Vila de Gràcia,True,20001
8,,,Tel.,C Francisco Giner,Telèfons,8012,55734068,674993075,BARCELONA,2.158955446305032,41.39939919545339,Bars i pubs musicals,651,Gràcia,429695.2460473937,32,﻿75990159282,,True,6,,,31,9,Bar musical Sabor Cubano *Francisco Giner,133004,1996-09-18T00:00:00,4583436.95050492,,2021-03-03T22:15:52.688490,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,145056,la Vila de Gràcia,True,20001
9,,,Tel.,C Provença,Telèfons,8036,55734068,934517962,BARCELONA,2.154691016573122,41.389764228515475,Bars i pubs musicals,651,Eixample,429328.33383638016,159,﻿75990102799,,True,2,,,8,10,Bar musical Aloha,268003,1996-09-18T00:00:00,4582370.758829709,,2021-05-28T14:37:14.527343,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,,142535,l'Antiga Esquerra de l'Eixample,True,20001
