,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Pg Gràcia,Telèfons,8008,56732073,934160000,BARCELONA,2.1593354417664754,41.397111741341796,Formació professional,651,Gràcia,429724.5468157903,114,﻿75990169560,,True,6,,,31,1,Centre Educatiu Arts i Tècniques de la Moda,148307,1996-09-18T00:00:00,4583182.691991133,,2021-03-03T22:14:31.408318,65103003001005,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,,145768,la Vila de Gràcia,True,20001
1,,,Tel.,C Requesens,Telèfons,8001,56732070,933295667,BARCELONA,2.1640647648156945,41.37973318249821,Música,651,Ciutat Vella,430101.2865565405,3,﻿75990107120,,True,1,,,1,2,Escola de Música Taller de Músics,279702,1996-09-18T00:00:00,4581249.524932321,,2021-03-03T22:14:31.210530,65103003001002,Planol BCN >> Educació >> Ensenyament reglat >> Música,,142797,el Raval,True,20001
2,,,Tel.,C Artesania,Telèfons,8042,,933502512,BARCELONA,2.1712906441052957,41.443976329517824,,,Nou Barris,430773.74155271717,57,﻿75990113173,,True,8,,,49,3,Centre Especial de Treball i Centre Ocupacional TEB Verdum,26605,1996-09-18T00:00:00,4588375.927589197,,2021-03-03T22:14:27.074524,,,,142473,Canyelles,True,20001
3,,,Tel.,Art,Telèfons,8041,,934084699,BARCELONA,2.179100515395609,41.42151674881136,,,Horta-Guinardó,431402.50296179624,5,﻿92086036505,,True,7,,,35,4,Kart autoescola,26208,1991-12-19T00:00:00,4585876.264071356,,2021-03-03T22:15:38.030515,,,,171422,el Guinardó,True,20001
4,,,Tel.,Rbla Catalunya,Telèfons,8008,56733069,934870104,BARCELONA,2.159380786850831,41.393883196493015,Idiomes,651,Eixample,429724.8598876077,111,﻿75990282514,,True,2,,,7,5,Centre Tècnic Superior,74506,1996-09-18T00:00:00,4582824.226488116,,2012-03-22T15:10:50,65103003002001,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,,148989,la Dreta de l'Eixample,True,20001
5,,258,Tel.,Passeig de Maragall,Telèfons,8031,,93 310 05 83,Barcelona,2.1718741608480965,41.426808539680586,,,Nou Barris,430804.25434424,258,﻿75990282518,,True,8,,,44,6,Centre Estudis DIX Formació,194406,1996-09-18T00:00:00,4586469.503838031,,2021-07-12T16:59:19.120208,,,,148990,Vilapicina i la Torre Llobeta,True,20001
6,,,Tel.,C Juan de Garay,Telèfons,8041,56731069,933518304,BARCELONA,2.1814264205076483,41.41807860569787,Ensenyament infantil (3-6 anys),651,Sant Andreu,431593.2581876378,12,﻿92168164972,,True,9,,,63,7,Escola Emili Juncadella,172200,1987-07-15T00:00:00,4585492.724848449,,2021-10-15T13:26:10.152200,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,171779,Navas,True,20001
7,,,Tel.,Pl Vila de Gràcia,Telèfons,8012,,930023255,BARCELONA,2.1578524693068117,41.400366556846045,,,Gràcia,429604.08891046257,6,﻿75990602883,,True,6,,,31,382,Institut Infància i Adolescència,284305,1999-07-10T00:00:00,4583545.24142971,,2021-03-03T22:15:13.383375,,,,156637,la Vila de Gràcia,True,20001
8,,,Tel.,C Juan de Garay,Telèfons,8041,56732068,933518304,BARCELONA,2.1814264205076483,41.41807860569787,Educació primària,651,Sant Andreu,431593.2581876378,12,﻿92168164972,,True,9,,,63,8,Escola Emili Juncadella,172200,1987-07-15T00:00:00,4585492.724848449,,2021-10-15T13:26:10.152200,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,171779,Navas,True,20001
9,,,Tel.,C Huelva,Telèfons,8020,56731069,933071431,BARCELONA,2.194100196799017,41.41596635435773,Ensenyament infantil (3-6 anys),651,Sant Martí,432650.20997309964,33,﻿92168164975,,True,10,,,72,9,Escola Bac de Roda,158504,1989-11-14T00:00:00,4585248.291443315,,2022-06-08T21:32:09.850420,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,171780,Sant Martí de Provençals,True,20001
10,,,Tel.,C Huelva,Telèfons,8020,56732068,933071431,BARCELONA,2.194100196799017,41.41596635435773,Educació primària,651,Sant Martí,432650.20997309964,33,﻿92168164975,,True,10,,,72,10,Escola Bac de Roda,158504,1989-11-14T00:00:00,4585248.291443315,,2022-06-08T21:32:09.850420,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,171780,Sant Martí de Provençals,True,20001
11,,,Tel.,Rbla Catalunya,Telèfons,8008,,934762520,BARCELONA,2.1585146699492435,41.394445304904515,,,Eixample,429653.0585721974,117,﻿75990218318,,True,2,,,7,11,Escola Institut d'Estudis Aplicats,74506,1996-09-18T00:00:00,4582887.333857531,,2021-03-03T22:14:31.435572,,,,146888,la Dreta de l'Eixample,True,20001
12,,,Tel.,Pau Claris,Telèfons,8010,56733069,933018241,BARCELONA,2.170522432694373,41.3900512098715,Idiomes,651,Eixample,430652.2289647184,87,﻿75990274548,,True,2,,,7,12,Metropol Centro de Idiomas,247659,1996-09-18T00:00:00,4582389.827917773,,2021-03-03T22:14:33.526444,65103003002001,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,,148300,la Dreta de l'Eixample,True,20001
13,,,Tel.,C Balmes,Telèfons,8006,56731069,932178612,BARCELONA,2.1518796261106825,41.39783092155685,Ensenyament infantil (3-6 anys),651,Sarrià-Sant Gervasi,429102.0528465646,208,﻿92168164999,,True,5,,,26,13,Centre Educatiu Escola Pia Balmes,32700,1986-04-23T00:00:00,4583268.609023109,,2021-03-03T22:14:13.072767,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,171783,Sant Gervasi - Galvany,True,20001
14,,,Tel.,C Balmes,Telèfons,8006,56732068,932178612,BARCELONA,2.1518796261106825,41.39783092155685,Educació primària,651,Sarrià-Sant Gervasi,429102.0528465646,208,﻿92168164999,,True,5,,,26,14,Centre Educatiu Escola Pia Balmes,32700,1986-04-23T00:00:00,4583268.609023109,,2021-03-03T22:14:13.072767,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,171783,Sant Gervasi - Galvany,True,20001
15,,,Tel.,C Balmes,Telèfons,8006,56732069,932178612,BARCELONA,2.1518796261106825,41.39783092155685,Educació secundària,651,Sarrià-Sant Gervasi,429102.0528465646,208,﻿92168164999,,True,5,,,26,15,Centre Educatiu Escola Pia Balmes,32700,1986-04-23T00:00:00,4583268.609023109,,2021-03-03T22:14:13.072767,65103003001001,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,,171783,Sant Gervasi - Galvany,True,20001
16,,,Tel.,C Immaculada,Telèfons,8017,56731069,932120908,BARCELONA,2.1244102505399765,41.40676676957799,Ensenyament infantil (3-6 anys),651,Sarrià-Sant Gervasi,426815.7768412612,25,﻿92168165009,,True,5,,,25,16,Escola Pia de Sarrià-Calassanç,162400,1990-06-08T00:00:00,4584283.500637969,,2021-03-03T22:14:49.346304,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,171785,Sant Gervasi - la Bonanova,True,20001
17,,,Tel.,C Immaculada,Telèfons,8017,56732068,932120908,BARCELONA,2.1244102505399765,41.40676676957799,Educació primària,651,Sarrià-Sant Gervasi,426815.7768412612,25,﻿92168165009,,True,5,,,25,17,Escola Pia de Sarrià-Calassanç,162400,1990-06-08T00:00:00,4584283.500637969,,2021-03-03T22:14:49.346304,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,171785,Sant Gervasi - la Bonanova,True,20001
18,,,Tel.,C Immaculada,Telèfons,8017,56732069,932120908,BARCELONA,2.1244102505399765,41.40676676957799,Educació secundària,651,Sarrià-Sant Gervasi,426815.7768412612,25,﻿92168165009,,True,5,,,25,18,Escola Pia de Sarrià-Calassanç,162400,1990-06-08T00:00:00,4584283.500637969,,2021-03-03T22:14:49.346304,65103003001001,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,,171785,Sant Gervasi - la Bonanova,True,20001
19,,48,Tel.,Carrer de Roger,Telèfons,8028,,93 611 40 17,Barcelona,2.128156661221475,41.377273833951676,,,Sants-Montjuïc,427095.96942746,48,﻿99400677183,99400666919,True,3,,,17,19,EFCM Espai Familiar Els Gats,286402,2021-09-29T13:34:07.379900,4581006.07447287,Escola  Bressol Municipal Els Gats,2022-01-05T11:46:41.508892,,,,426909,Sants - Badal,False,20001
20,,,Tel.,C Mozart,Telèfons,8012,,932370830,BARCELONA,2.1580684098103853,41.399376692724786,,,Gràcia,429621.0717684738,19,﻿92168165080,,True,6,,,31,20,Escola de Teatre Nancy Tuñón - Formació de l'Actor,222705,1986-11-03T00:00:00,4583435.172506833,,2021-03-03T22:15:40.745507,,,,171789,la Vila de Gràcia,True,20001
21,,,Tel.,C Gran de Gràcia,Telèfons,8012,,934161787,BARCELONA,2.1504937631588126,41.40564880810362,,,Gràcia,428994.7127062222,243,﻿75990231773,,True,6,,,31,21,Forum PDF,206403,1996-09-18T00:00:00,4584137.676524465,,2018-07-26T15:38:33,,,,146823,la Vila de Gràcia,True,20001
22,,,Tel.,C Garriga i Roca,Telèfons,8032,56732069,934503526,BARCELONA,2.169276061235553,41.422130931437025,Educació secundària,651,Horta-Guinardó,430582.18091081607,21,﻿92168165153,,True,7,,,35,22,Institut Francisco de Goya,141206,1987-09-28T00:00:00,4585952.279163148,,2021-03-03T22:14:15.507761,65103003001001,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,,171666,el Guinardó,True,20001
23,,,Tel.,Carrer de Sant Adrià,Telèfons,8030,56731069,935416560,Barcelona,2.1908326284827284,41.433793974354174,Ensenyament infantil (3-6 anys),651,Sant Andreu,432395.62904746283,20,﻿99400222548,,True,9,,,60,23,Escola Can Fabra,295709,2009-03-05T12:38:07,4587230.04407906,,2021-10-01T11:09:28.751139,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,222193,Sant Andreu,True,20001
