,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Carrer d'Aldana,Telèfons,8015,56731069,93 441 02 96,Barcelona,2.165684658297076,41.37552737856383,Ensenyament infantil (3-6 anys),651,Eixample,430232.2443803526,1,﻿75990349490,,True,2,,,10,1,Escola Aldana,7702,1996-09-18T00:00:00,4580781.298529834,,2022-07-22T09:27:03.183564,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,151797,Sant Antoni,True,20001
1,,,Tel.,Carrer d'Aldana,Telèfons,8015,56732068,93 441 02 96,Barcelona,2.165684658297076,41.37552737856383,Educació primària,651,Eixample,430232.2443803526,1,﻿75990349490,,True,2,,,10,2,Escola Aldana,7702,1996-09-18T00:00:00,4580781.298529834,,2022-07-22T09:27:03.183564,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,151797,Sant Antoni,True,20001
2,,48,Tel.,Carrer de Roger,Telèfons,8028,56731068,93 611 40 17,Barcelona,2.128156661221475,41.377273833951676,Ensenyament infantil (0-3 anys),651,Sants-Montjuïc,427095.96942746,48,﻿99400666919,,True,3,,,17,3,Escola  Bressol Municipal Els Gats,286402,2021-03-30T14:13:45.256814,4581006.07447287,,2021-12-03T10:20:48.683568,65103003000000,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),,411725,Sants - Badal,False,20001
3,,48,Tel.,Carrer de Roger,Telèfons,8028,56731070,93 611 40 17,Barcelona,2.128156661221475,41.377273833951676,Escoles Bressol municipals,651,Sants-Montjuïc,427095.96942746,48,﻿99400666919,,True,3,,,17,4,Escola  Bressol Municipal Els Gats,286402,2021-03-30T14:13:45.256814,4581006.07447287,,2021-12-03T10:20:48.683568,65103003000002,Planol BCN >> Educació >> Ensenyament infantil >> Escoles Bressol municipals,,411725,Sants - Badal,False,20001
4,,,Tel.,C Santa Elena,Telèfons,8001,56731068,934417536,BARCELONA,2.168477965053978,41.377339015429335,Ensenyament infantil (0-3 anys),651,Ciutat Vella,430467.7600490098,4,﻿92086000465,,True,1,,,1,5,Escola Bressol Municipal Mont Tàber,314803,1987-06-30T00:00:00,4580980.178636966,,2021-05-28T14:53:10.539312,65103003000000,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),,159285,el Raval,True,20001
5,,,Tel.,C Santa Elena,Telèfons,8001,56731070,934417536,BARCELONA,2.168477965053978,41.377339015429335,Escoles Bressol municipals,651,Ciutat Vella,430467.7600490098,4,﻿92086000465,,True,1,,,1,6,Escola Bressol Municipal Mont Tàber,314803,1987-06-30T00:00:00,4580980.178636966,,2021-05-28T14:53:10.539312,65103003000002,Planol BCN >> Educació >> Ensenyament infantil >> Escoles Bressol municipals,,159285,el Raval,True,20001
6,,,Tel.,C Joan Riera,Telèfons,8042,56731069,933548991,BARCELONA,2.1752932608401676,41.44252248703984,Ensenyament infantil (3-6 anys),651,Nou Barris,431106.565357395,46,﻿75990171668,,True,8,,,51,7,Centre Educatiu Sant Ferran,173100,1996-09-18T00:00:00,4588211.329260207,,2021-03-03T22:14:30.457564,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),,145660,Verdun,True,20001
7,,,Tel.,C Joan Riera,Telèfons,8042,56732068,933548991,BARCELONA,2.1752932608401676,41.44252248703984,Educació primària,651,Nou Barris,431106.565357395,46,﻿75990171668,,True,8,,,51,8,Centre Educatiu Sant Ferran,173100,1996-09-18T00:00:00,4588211.329260207,,2021-03-03T22:14:30.457564,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,,145660,Verdun,True,20001
8,,,Tel.,C Joan Riera,Telèfons,8042,56732069,933548991,BARCELONA,2.1752932608401676,41.44252248703984,Educació secundària,651,Nou Barris,431106.565357395,46,﻿75990171668,,True,8,,,51,9,Centre Educatiu Sant Ferran,173100,1996-09-18T00:00:00,4588211.329260207,,2021-03-03T22:14:30.457564,65103003001001,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,,145660,Verdun,True,20001
9,,,Tel.,C Hernán Cortés,Telèfons,8018,56731068,932700693,BARCELONA,2.1879060364203102,41.40668736711827,Ensenyament infantil (0-3 anys),651,Sant Martí,432122.895300684,2,﻿99400104707,,True,10,,,65,10,Escola Bressol Municipal La Farinera,154809,2005-02-04T12:22:02,4584222.984334817,,2021-03-03T22:16:19.510117,65103003000000,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),,212236,el Clot,True,20001
