,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Balmes,Telèfons,8022,,932034087,BARCELONA,2.1390630411650062,41.40633389902825,,,Sarrià-Sant Gervasi,428040.03196198563,408,﻿90125050613,,True,5,,,27,1,Clínica Veterinària Doctor Colomer,32700,1992-05-04T00:00:00,4584223.167489003,,1999-03-10T00:00:00,,,,159405,el Putxet i el Farró,True,20001
1,,,Centraleta,C Agustí i Milà,Telèfons,8030,,933457066,BARCELONA,2.1882249863720102,41.437909473804304,,,Sant Andreu,432182.0480279004,17,﻿75990013839,,True,9,,,60,2,Assistència Veterinària Sant Andreu,4205,1996-09-17T00:00:00,4587688.98356534,,2018-08-14T10:30:14,,,,134977,Sant Andreu,True,20003
2,,,Tel.,Rda Sant Antoni,Telèfons,8011,,934545947,BARCELONA,2.1637080373787487,41.38456840825006,,,Eixample,430076.6376845723,59,﻿75990135140,,True,2,,,10,3,Centro Luera Barcelona,296508,1996-09-18T00:00:00,4581786.611685412,,2001-11-28T00:00:00,,,,145118,Sant Antoni,True,20001
3,,,Tel.,Sardenya,Telèfons,8025,,932196012,BARCELONA,2.166633507310452,41.408376305502195,,,Gràcia,430346.6655129481,437,﻿75990109981,,True,6,,,32,4,Clínica Veterinària Castelar,76807,1996-09-18T00:00:00,4584427.375980604,,2004-04-26T23:08:00,,,,142297,el Camp d'en Grassot i Gràcia Nova,True,20001
4,,,Tel.,Llenguadoc,Telèfons,8030,,933115372,BARCELONA,2.186616134888541,41.43074257646168,,,Sant Andreu,432040.16356504883,72,﻿75990073928,,True,9,,,60,5,Clínica Veterinària Sant Andreu,176404,1996-09-18T00:00:00,4586894.581276337,,2001-12-28T00:00:00,,,,139404,Sant Andreu,True,20001
5,,,Tel.,C Begur,Telèfons,8028,,934319798,BARCELONA,2.1301783963626995,41.37392732092387,,,Sants-Montjuïc,427261.3013027089,41,﻿75990021703,,True,3,,,17,6,Centre Veterinari Badal,31208,1996-09-17T00:00:00,4580632.851352718,,2021-03-03T22:14:12.117126,,,,134923,Sants - Badal,True,20001
6,,,Tel.,Olzinelles,Telèfons,8014,,933325616,BARCELONA,2.136168572516148,41.37479918425111,,,Sants-Montjuïc,427763.1984022209,6,﻿75990094901,,True,3,,,18,7,Fernando Royo Lafuente,235208,1996-09-18T00:00:00,4580724.634564353,,2000-01-01T00:00:00,,,,141361,Sants,True,20001
7,,,Tel.,C Lorena,Telèfons,8042,,692060858,BARCELONA,2.172490000040135,41.43753056393972,,,Nou Barris,430867.08979415905,65,﻿99400395359,,True,8,,,48,8,Associació d'Acció Social DISCAN,180751,2015-09-01T14:56:21,4587659.363587814,,2021-03-03T22:14:12.009099,,,,227470,la Guineueta,True,20001
8,,,Tel.,Castanys,Telèfons,8005,,932254333,BARCELONA,2.20531191395483,41.400497229526,,,Sant Martí,433571.43536755367,9,﻿75990036436,,True,10,,,68,9,Centre Veterinario Sant Martí,71905,1996-09-17T00:00:00,4583522.2704563085,,2000-03-03T00:00:00,,,,136190,el Poblenou,True,20001
9,,,Tel.,C Cardener,Telèfons,8024,,935 125 476,BARCELONA,2.1554756596016875,41.40918560248385,,,Gràcia,429414.9525423916,28,﻿99400565332,,True,6,,,31,10,Veterinaria Barna Baires,66100,2017-12-05T14:14:50,4584526.255823291,,2021-03-03T22:15:51.185881,,,,231203,la Vila de Gràcia,True,20001
