,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Pl Albert Badia i Mur,Telèfons,8027,57731068,933464601,BARCELONA,2.1935644214906227,41.427868820111236,Bàsquet,651,Sant Andreu,432617.74002387305,1,﻿99400651552,,True,9,,,61,1,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2021-03-03T22:14:44.839455,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,,233770,la Sagrera,True,20001
1,,,Tel.,Pl Albert Badia i Mur,Telèfons,8027,57731071,933464601,BARCELONA,2.1935644214906227,41.427868820111236,Futbol sala,651,Sant Andreu,432617.74002387305,1,﻿99400651552,,True,9,,,61,2,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2021-03-03T22:14:44.839455,65103004000003,Planol BCN >> Esports >> Esports d'equip >> Futbol sala,,233770,la Sagrera,True,20001
2,,,Tel.,Pl Albert Badia i Mur,Telèfons,8027,57731075,933464601,BARCELONA,2.1935644214906227,41.427868820111236,Handbol,651,Sant Andreu,432617.74002387305,1,﻿99400651552,,True,9,,,61,3,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2021-03-03T22:14:44.839455,65103004000007,Planol BCN >> Esports >> Esports d'equip >> Handbol,,233770,la Sagrera,True,20001
3,,,Tel.,Pl Albert Badia i Mur,Telèfons,8027,57732077,933464601,BARCELONA,2.1935644214906227,41.427868820111236,Altres esports,651,Sant Andreu,432617.74002387305,1,﻿99400651552,,True,9,,,61,4,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2021-03-03T22:14:44.839455,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,,233770,la Sagrera,True,20001
4,,,Tel.,Pl Albert Badia i Mur,Telèfons,8027,57345754,933464601,BARCELONA,2.1935644214906227,41.427868820111236,Instal·lacions esportives,651,Sant Andreu,432617.74002387305,1,﻿99400651552,,True,9,,,61,5,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2021-03-03T22:14:44.839455,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,,233770,la Sagrera,True,20001
5,,,,C Granja Vella,,8035,55737068,,BARCELONA,2.147575619309494,41.42660537548248,Parcs i jardins,651,Horta-Guinardó,428773.69936044945,7,﻿99400646020,,True,7,,,41,6,Espai Lúdic-Esportiu de la Campa,700825,2020-01-10T12:42:14,4586466.65177436,,2021-03-03T22:15:28.934108,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,,la Vall d'Hebron,,
6,,,,C Granja Vella,,8035,57732077,,BARCELONA,2.147575619309494,41.42660537548248,Altres esports,651,Horta-Guinardó,428773.69936044945,7,﻿99400646020,,True,7,,,41,7,Espai Lúdic-Esportiu de la Campa,700825,2020-01-10T12:42:14,4586466.65177436,,2021-03-03T22:15:28.934108,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,,,la Vall d'Hebron,,
7,,,,C Granja Vella,,8035,57732069,,BARCELONA,2.147575619309494,41.42660537548248,Atletisme en pista,651,Horta-Guinardó,428773.69936044945,7,﻿99400646020,,True,7,,,41,8,Espai Lúdic-Esportiu de la Campa,700825,2020-01-10T12:42:14,4586466.65177436,,2021-03-03T22:15:28.934108,65103004001001,Planol BCN >> Esports >> Esports individuals >> Atletisme en pista,,,la Vall d'Hebron,,
8,,,,C Granja Vella,,8035,57345754,,BARCELONA,2.147575619309494,41.42660537548248,Instal·lacions esportives,651,Horta-Guinardó,428773.69936044945,7,﻿99400646020,,True,7,,,41,9,Espai Lúdic-Esportiu de la Campa,700825,2020-01-10T12:42:14,4586466.65177436,,2021-03-03T22:15:28.934108,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,,,la Vall d'Hebron,,
9,,,No tenen telèfon,Garriga i Roca,Telèfons,8041,57732077,-,BARCELONA,2.169613897166294,41.41948943678852,Altres esports,651,Horta-Guinardó,430607.59972452524,1,﻿96113131008,92086011954,True,7,,,35,10,Taules Ping-Pong,141206,1996-04-22T00:00:00,4585658.752029341,Parc del Guinardó,2005-03-08T16:15:32,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,,190923,el Guinardó,True,100050
