,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,C Mare de Déu del Coll,Telèfons,8023,61731068,934189193,BARCELONA,2.1498524077600574,41.408839945402555,Hospitals i clíniques,651,Gràcia,428944.58211830497,20,﻿75990218335,99400474689,True,6,,,30,1,Hospital de Dia,229908,1996-09-18T00:00:00,4584492.479054151,Fundació Privada en Salut Mental CPB. Doctor Fàbregas,2021-03-03T22:14:31.438843,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,146889,la Salut,True,20001
1,,19,Tel.,Carrer de Sabino Arana,Telèfons,8028,61731068,93 414 64 84,Barcelona,2.12605640432412,41.38527279999507,Hospitals i clíniques,651,Les Corts,426929.29809419,5,﻿99400680854,75990027608,True,4,,,20,2,Unitat Cirurgia Barcelona,285002,2021-11-30T12:58:28.266050,4581895.87657476,Hospital Universitari Quirón Dexeus,2021-11-30T13:04:49.883932,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,434306,la Maternitat i Sant Ramon,True,20001
2,,,Tel.,Viladomat,Telèfons,8015,61731068,934529930,BARCELONA,2.153365428284767,41.382842666072804,Hospitals i clíniques,651,Eixample,429210.00014798,158,﻿75990132981,,True,2,,,9,3,Clínica Centro Médico Aragón,361406,1996-09-18T00:00:00,4581603.419292863,,2021-03-03T22:14:25.834884,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,145960,la Nova Esquerra de l'Eixample,True,20001
3,,,Tel.,C Fernando Pessoa,Telèfons,8030,61731070,932747950,BARCELONA,2.1928382905116335,41.443165080225725,Centres urgències (CUAPs),651,Sant Andreu,432572.90011901816,51,﻿99400313275,99400313267,True,9,,,60,4,Centre d'Urgències d'Atenció Primària Casernes de Sant Andreu,701334,2013-03-15T00:00:00,4588268.853995234,Centre de Salut Isabel Roig-Casernes de Sant Andreu,2021-03-03T22:14:55.992655,65103008000002,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Centres urgències (CUAPs),,225178,Sant Andreu,True,20001
4,,,Centraleta,C Marina,Telèfons,8013,61731069,932317705,BARCELONA,2.1822703458787167,41.3987059201658,CAPs,651,Eixample,431643.48013687687,168,﻿94250133615,,True,2,,,5,5,Centre d'Atenció Primària Carles I,197302,1994-09-07T00:00:00,4583341.325837066,,2022-05-19T08:22:54.106802,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,,177219,el Fort Pienc,True,20003
5,,,Tel.,Via Augusta,Telèfons,8017,61731068,933636503,BARCELONA,2.121523780191905,41.40196697142779,Hospitals i clíniques,651,Sarrià-Sant Gervasi,426569.1113530393,364,﻿99400222345,,True,5,,,23,6,Hospital de Dia d'Adolescents Les Corts - Sarrià - Sant Gervasi,28000,2009-03-02T14:42:59,4583753.07475727,,2021-03-03T22:16:19.367810,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,222152,Sarrià,True,20001
6,,,Tel.,C Coroleu,Telèfons,8030,61731068,931165191,BARCELONA,2.1870018182458217,41.433002276705444,Hospitals i clíniques,651,Sant Andreu,432074.74417885765,44,﻿75990174967,,True,9,,,60,7,Clínica Coroleu,91403,1996-09-18T00:00:00,4587145.148841924,,2021-03-03T22:14:32.618873,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,147305,Sant Andreu,True,20001
7,,,Tel.,C Teodor Llorente,Telèfons,8041,61731069,933489901,BARCELONA,2.1787770228527332,41.419029908950506,CAPs,651,Horta-Guinardó,431372.8523059078,26,﻿99400400950,,True,7,,,35,8,Centre d'Atenció Primària Guinardó,334403,2015-11-09T16:31:22,4585600.433753895,,2021-07-19T22:20:00.100319,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,,227310,el Guinardó,True,20001
8,,,Centraleta,Pg Valldaura,Telèfons,8042,61731069,932749534,BARCELONA,2.1660421341481015,41.43953322554174,CAPs,651,Nou Barris,430330.55095362244,135,﻿92086005755,,True,8,,,48,9,Centre d'Atenció Primària Guineueta,351901,1988-03-21T00:00:00,4587886.86726167,,2021-05-12T13:27:57.783433,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,,161726,la Guineueta,True,20003
9,,,Centraleta,C Sabino Arana,Telèfons,8028,61731068,932275600,BARCELONA,2.1266906636468885,41.385476133494954,Hospitals i clíniques,651,Les Corts,426982.5567344822,1,﻿92086002048,,True,4,,,20,10,Hospital Casa de la Maternitat,285002,1984-05-30T00:00:00,4581917.915749968,,2021-03-03T22:15:34.008651,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,,159931,la Maternitat i Sant Ramon,True,20003
