,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Tel.,Carrer la Rambla,Telèfons,8002,60731068,933177585,Barcelona,2.173782143732884,41.38091335380008,Restaurants,651,Ciutat Vella,430915.08461871266,74,﻿75990368025,,True,1,,,2,1,Cafeteria Restaurant Cafè de l'Òpera,34308,1996-09-18T00:00:00,4581372.753896849,,2021-07-23T14:05:54.437696,65103007000000,Planol BCN >> Restaurants >> Restaurants >> Restaurants,,152333,el Barri Gòtic,True,20001
1,,,Tel.,Av República Argentina,Telèfons,8023,62731071,932121168,BARCELONA,2.1482112139978766,41.40830297314985,Residències gent gran,651,Gràcia,428806.82346871274,16,﻿75990106696,,True,6,,,28,2,Residència Assistencial per a Gent Gran Refugi d'Obreres,279600,1996-09-18T00:00:00,4584434.212593329,,2021-03-03T22:14:26.869782,65103009000003,Planol BCN >> Serveis socials >> Serveis socials >> Residències gent gran,,142768,Vallcarca i els Penitents,True,20001
2,,,Tel.,Carrer Gran de Sant Andreu,Telèfons,8030,61732068,933450307,Barcelona,2.18973464583348,41.437092017175345,Farmàcies,651,Sant Andreu,432307.32083074545,306,﻿75990113089,,True,9,,,60,3,Farmàcia Guinart Gómez de Arteche,296202,1996-09-18T00:00:00,4587597.048486002,,2022-07-05T10:24:39.479885,65103008001000,Planol BCN >> Sanitat >> Farmàcies >> Farmàcies,,142467,Sant Andreu,True,20001
3,,,Tel.,C Alcolea,Telèfons,8014,,934090622,BARCELONA,2.136838762891396,41.376070955580914,,,Sants-Montjuïc,427820.6488133747,16,﻿1023103839,,True,3,,,18,4,Associació Sants Establiments Units,7407,2001-01-23T00:00:00,4580865.266203808,,2022-02-15T09:11:35.797977,,,,132440,Sants,True,20001
4,,,Informació,Av Diagonal,Telèfons,8019,58731071,935677637,BARCELONA,2.216422759940968,41.41045744398306,Grans centres comercials,651,Sant Martí,434510.2090325903,3,﻿1313140637,,True,10,,,69,5,Centre Comercial Diagonal Mar,144601,2001-11-09T00:00:00,4584619.5799381975,,2021-03-03T22:14:09.448199,65103005000003,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Grans centres comercials,,133178,Diagonal Mar i el Front Marítim del Poblenou,True,20006
5,,,Informació,Parc Ciutadella,Telèfons,8003,55735070,937065656,BARCELONA,2.1871870138081793,41.386153673583415,Zoo,651,Ciutat Vella,432041.4105524885,,﻿61171409,,True,1,,,4,6,Zoo de Barcelona,246259,2000-03-01T00:00:00,4581943.9265508605,,2022-07-04T10:12:38.944395,65103002004002,Planol BCN >> Cultura i lleure >> Espais infantils >> Zoo,,129914,"Sant Pere, Santa Caterina i la Ribera",True,20006
6,,,Informació,Parc Ciutadella,Telèfons,8003,55737068,937065656,BARCELONA,2.1871870138081793,41.386153673583415,Parcs i jardins,651,Ciutat Vella,432041.4105524885,,﻿61171409,,True,1,,,4,7,Zoo de Barcelona,246259,2000-03-01T00:00:00,4581943.9265508605,,2022-07-04T10:12:38.944395,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,129914,"Sant Pere, Santa Caterina i la Ribera",True,20006
7,,,Tel.,Passeig de Picasso,Telèfons,8003,55737068,010,Barcelona,2.185381778970792,41.38633657544665,Parcs i jardins,651,Ciutat Vella,431890.6660134717,21,﻿92086011921,,True,1,,,4,8,Parc de la Ciutadella,201400,1988-07-13T00:00:00,4581965.649308547,,2022-07-04T20:23:31.624521,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,163786,"Sant Pere, Santa Caterina i la Ribera",True,20001
8,,,Tel.,Passeig de Picasso,Telèfons,8003,66731068,010,Barcelona,2.185381778970792,41.38633657544665,WiFi BCN,651,Ciutat Vella,431890.6660134717,21,﻿92086011921,,True,1,,,4,9,Parc de la Ciutadella,201400,1988-07-13T00:00:00,4581965.649308547,,2022-07-04T20:23:31.624521,65103013000000,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,,163786,"Sant Pere, Santa Caterina i la Ribera",True,20001
9,,,Tel.,Av Estadi,Telèfons,8038,55737068,010,BARCELONA,2.1529654736615242,41.366093518468645,Parcs i jardins,651,Sants-Montjuïc,429158.3870412853,42,﻿92086011925,,True,3,,,11,10,Jardins d'Aclimatació de Montjuïc,116402,1985-04-01T00:00:00,4579744.284431306,,2022-05-25T13:51:39.230172,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,163788,el Poble-sec,True,20001
