,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Informació,Carretera de Vallvidrera al Tibidabo,Telèfons,8017,,932117942,Barcelona,2.111785952453742,41.4158634160436,,,Sarrià-Sant Gervasi,425770.9487653924,8,﻿92094121416,92168177170,True,5,,,22,1,Mirador,335654,1992-04-03T00:00:00,4585304.14545923,Torre de Collserola,2021-10-07T14:58:39.949168,,,i reserves (Parc del Tibidabo),171150,"Vallvidrera, el Tibidabo i les Planes",True,20006
1,,,Tel.,Passeig de Montjuïc,Telèfons,8038,55737068,10,Barcelona,2.1701826605872294,41.37192068979768,Parcs i jardins,651,Sants-Montjuïc,430604.54984327627,59,﻿95125123610,,True,3,,,11,2,Parc del Mirador del Poble-sec,218606,1995-05-05T00:00:00,4580377.27955072,,2021-07-26T09:57:49.179033,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,185933,el Poble-sec,True,20001
2,,,,Gran Vista,,8032,,,BARCELONA,2.15743194181105,41.418864177814015,,,Horta-Guinardó,429588.9126282703,160,﻿95235112744,,True,7,,,37,3,Mirador de la Mitja Lluna,148602,1995-08-23T00:00:00,4585599.16939963,,2018-07-26T16:01:34,,,,,el Carmel,,
3,,,,Pl Fòrum,,8019,,,BARCELONA,2.228870666907788,41.41120421492248,,,Sant Martí,435551.3259060027,1,﻿99400078602,99400118971,True,10,,,70,4,Mirador de la Fotovoltaica,701612,2004-03-31T14:04:00,4584693.1484208265,El Parc del Fòrum,2021-03-03T22:16:05.239423,,,,,el Besòs i el Maresme,,
4,,,Tel.,Carrer de Montalegre,Telèfons,8001,,933064100,Barcelona,2.166812898457659,41.383914502178996,,,Ciutat Vella,430335.54318321194,5,﻿99400066184,94042144909,True,1,,,1,5,Mirador,216906,2003-11-19T12:45:00,4581711.515471728,Centre de Cultura Contemporània de Barcelona,2021-10-18T16:46:41.901883,,,,207387,el Raval,True,20001
5,,,,Av Miramar,,8038,,,BARCELONA,2.1610538688736343,41.36920994575292,,,Sants-Montjuïc,429838.2133575509,9,﻿99400055764,,True,3,,,11,6,Mirador de Satàlia,213307,2003-08-01T10:59:27,4580083.686259031,,2018-07-26T16:01:34,,,,,el Poble-sec,,
6,,,Informació i reserves,Ctra Alta de les Roquetes,Telèfons,8033,,664044079,BARCELONA,2.1761305165721443,41.45079189503227,,,Nou Barris,431185.24640658265,309,﻿92086030904,,True,8,,,54,7,Castell de Torre Baró,12305,1989-10-04T00:00:00,4589128.729342259,,2021-03-03T22:15:56.037033,,,i visites comentades i activitats per a escoles,167411,Torre Baró,True,20048
7,,7,,Plaça del Fòrum,,8019,,,Barcelona,2.2222307455389765,41.4104955414078,,,Sant Martí,434995.67042966,7,﻿99400078597,,True,10,,,70,8,Mirador de l'Escalinata,701612,2004-03-31T13:53:57,4584619.43433891,,2021-03-23T13:06:39.655092,,,,,el Besòs i el Maresme,,
8,,51,Tel.,Carretera de Montjuïc,Telèfons,8038,55737068,10,Barcelona,2.169190267865246,41.366934580208515,Parcs i jardins,651,Sants-Montjuïc,430516.2526095569,41,﻿1338142144,,True,3,,,11,9,Jardins del Mirador de l'Alcalde,218504,2001-12-04T00:00:00,4579824.525955966,,2021-05-03T16:03:44.541155,65103002006000,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,,133714,el Poble-sec,True,20001
9,,,,Plaça de Ramon Calsina,,8019,,,Barcelona,2.212560936198963,41.405450920442256,,,Sant Martí,434182.3903248399,1,﻿99400062408,,True,10,,,69,10,Torre de les Aigües del Besòs,701279,2003-10-08T14:23:24,4584066.689266023,,2021-09-29T10:29:58.699042,,,,,Diagonal Mar i el Front Marítim del Poblenou,,
