,addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
0,,,Web,Via Bàrcino,Informació d'interès,8033,http://barcelona.cat/biblioteques,BARCELONA,2.1931301317422927,41.451474639572886,Sant Andreu,432605.87961451133,84,﻿99400348703,92168175394,True,9,,,57,1,Bibliopiscina *Via Barcino,34400,2014-08-04T00:00:00,4589191.15002029,Centre Esportiu Municipal Trinitat Vella,2021-03-03T22:15:00.629424,,94967,la Trinitat Vella,True,100003
1,,,E-mail,Trav Gràcia,Informació d'interès,8025,info@dinamis.es,BARCELONA,2.1718945102077476,41.41036857215557,Horta-Guinardó,430788.50217655,419,﻿92086004548,,True,7,,,33,2,Club Gimnàs Dinamis,344101,1987-04-23T00:00:00,4584644.337955773,,2021-03-03T22:15:31.284823,,39689,el Baix Guinardó,True,100002
2,,,Tel.,Bosch i Gimpera,Telèfons,8034,932037852,BARCELONA,2.1183319142548482,41.39369047981739,Les Corts,426292.95323666243,5,﻿92086005217,92086005216,True,4,,,21,3,Piscina Esportiva Descoberta,62700,1987-06-25T00:00:00,4582836.938633416,Reial Club de Tennis Barcelona - 1899,2018-07-26T15:32:13,,162438,Pedralbes,True,20001
3,,,Web,Amigó,Informació d'interès,8021,http://www.arsenalbarcelona.com,BARCELONA,2.1420361306629934,41.397357003141515,Sarrià-Sant Gervasi,428278.6648568097,72,﻿2010135335,2010135010,True,5,,,26,4,Piscina Coberta,13909,2002-01-10T00:00:00,4583224.097283665,Gimnàs Arsenal *Amigó,2021-03-03T22:14:06.135253,,65459,Sant Gervasi - Galvany,True,100003
4,,,E-mail,Carrer d'Ana María Matute Ausejo,Informació d'interès,8024,cnc@cncatalunya.cat,Barcelona,2.1581717417338337,41.415382668167865,Gràcia,429646.9791453448,25,﻿92086003372,92086003375,True,6,,,30,5,Piscina Descoberta,274200,1987-10-06T00:00:00,4585212.054185329,Centre Esportiu Municipal Can Toda,2022-01-24T13:22:07.897087,,39607,la Salut,True,100002
5,,,Tel.,C Rosselló i Porcel,Telèfons,8016,932760480,BARCELONA,2.1832834043738036,41.43616047006365,Nou Barris,431767.37909035437,7,﻿94147123327,92086032989,True,8,,,45,6,Piscines Esportives,289852,1994-05-27T00:00:00,4587498.693335716,Centre Esportiu Municipal Can Dragó,2021-03-03T22:15:42.167266,CEM Can Dragó,174755,Porta,True,20001
6,,,Web,Av Rasos de Peguera,Informació d'interès,8033,http://cancuyas.eurofitness.com,BARCELONA,2.1681328086399776,41.4599194040609,Nou Barris,430526.9625813584,242,﻿93057134404,92086037277,True,8,,,55,7,Piscina Esportiva Coberta,275600,1993-02-26T00:00:00,4590148.453280351,Centre Esportiu Municipal Can Cuyàs,2021-03-03T22:14:32.522375,,77136,Ciutat Meridiana,True,100003
7,,,Tel.,València,Telèfons,8009,934582904,BARCELONA,2.1721967290975237,41.39863993675948,Eixample,430801.31831983005,370,﻿92086026502,92168152847,True,2,,,7,113,Piscina Coberta,350308,1992-02-25T00:00:00,4583341.997659237,Club Esportiu Sant Joan Maristes,2018-07-26T15:32:16,,167755,la Dreta de l'Eixample,True,20001
8,,,E-mail,Trav Corts,Informació d'interès,8014,info.lescorts@holmesplace.es,BARCELONA,2.1335979261241165,41.38540957993892,Les Corts,427560.00512404495,252,﻿117132415,99186122857,True,4,,,19,8,Piscines Cobertes,343903,2000-04-26T00:00:00,4581904.730002864,Centre Esportiu Municipal Les Corts,2021-03-03T22:14:07.943754,,33343,les Corts,True,100002
9,,,E-mail,Ptge Domingo,Informació d'interès,8007,info@dir.cat,BARCELONA,2.1622308300394697,41.392947009336936,Eixample,429962.11860398186,7,﻿92086028592,,True,2,,,7,9,Dir Seven,104505,1988-11-10T00:00:00,4582717.984573833,,2021-03-03T22:15:38.378565,,42088,la Dreta de l'Eixample,True,100002
