id,name,zone,ubicacion_full,distrito2,calle,barrio,barrio2,distrito,area,price,price_before,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,aire,exterior,datalles2,cp,actualizacion,actualizacion2,extract_day
33713270,"Alquiler de Piso en sinai, 10","Sant Genís Dels Agudells - Montbau, Barcelona","sinai, 10||Urb. Junto al Hospital de Valle Hebron||Barrio Sant Genís Dels Agudells - Montbau||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,"sinai, 10",Urb. Junto al Hospital de Valle Hebron,Barrio Sant Genís Dels Agudells - Montbau,Barrio Sant Genís Dels Agudells - Montbau,Barcelona,750,750,70,3,1,0,0,segunda mano/buen estado,,1,0,0,0,0,1,0,1,||consumo: |203 kwh/m² año|||emisiones: |42 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace una hora,Anuncio actualizado el 19 de diciembre,2022-12-19
98590529,Alquiler de Piso en calle de Balsareny,"Sant Gervasi - La Bonanova, Barcelona","Calle de Balsareny||Barrio Sant Gervasi - La Bonanova||Distrito Sarrià-Sant Gervasi||Barcelona||Área de Barcelona, Barcelona",Distrito Sarrià-Sant Gervasi,Calle de Balsareny,Barrio Sant Gervasi - La Bonanova,Barrio Sant Gervasi - La Bonanova,Distrito Sarrià-Sant Gervasi,"Área de Barcelona, Barcelona",3497,3497,100,2,3,1,1,segunda mano/buen estado,,1,0,0,1,1,1,0,1,||aire acondicionado|||piscina|||zonas verdes||||consumo: |38 kwh/m² año|||emisiones: |8 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace una hora,Anuncio actualizado el 19 de diciembre,2022-12-19
99944434,Alquiler de Piso en Sant Genís Dels Agudells - Montbau,"Horta Guinardó, Barcelona","||Barrio Sant Genís Dels Agudells - Montbau||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,,Barrio Sant Genís Dels Agudells - Montbau,Barrio Sant Genís Dels Agudells - Montbau,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",1200,1200,70,3,1,0,0,segunda mano/buen estado,1963,0,1,1,4,1,0,1,1,||aire acondicionado||||no indicado|||,08035,Anuncio actualizado hace 4 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
94362951,Alquiler de Casa o chalet en Sant Genís Dels Agudells - Montbau,"Horta Guinardó, Barcelona","||Barrio Sant Genís Dels Agudells - Montbau||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,,Barrio Sant Genís Dels Agudells - Montbau,Barrio Sant Genís Dels Agudells - Montbau,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",8000,8000,268,3,3,1,1,segunda mano/buen estado,1928,1,1,1,0,1,0,0,0,||aire acondicionado|||jardín||||en trámite|||,08035,Anuncio actualizado hace una hora,Anuncio actualizado el 19 de diciembre,2022-12-19
99941532,Alquiler de Piso en Juan de Mena,"La Vall d'Hebron - La Clota, Barcelona","Juan de Mena||Barrio La Vall d'Hebron - La Clota||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Juan de Mena,Barrio La Vall d'Hebron - La Clota,Barrio La Vall d'Hebron - La Clota,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",990,990,59,3,1,0,1,segunda mano/buen estado,1968,1,0,0,11,1,1,1,1,||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace 2 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
99829230,Alquiler de Masía en carretera Horta a Cerdanyola,"Horta, Barcelona","Carretera Horta a Cerdanyola||Barrio Horta||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Carretera Horta a Cerdanyola,Barrio Horta,Barrio Horta,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",8000,8000,142,6,5,1,1,segunda mano/buen estado,1976,1,1,1,0,1,0,0,0,||aire acondicionado|||piscina|||jardín||||inmueble exento|||,08035,Anuncio actualizado hace 7 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
99917975,Alquiler de Piso en plaza Joan Cornudella,"La Vall d'Hebron - La Clota, Barcelona","Plaza Joan Cornudella||Barrio La Vall d'Hebron - La Clota||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Plaza Joan Cornudella,Barrio La Vall d'Hebron - La Clota,Barrio La Vall d'Hebron - La Clota,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",1620,1620,125,4,2,1,1,segunda mano/buen estado,1992,1,1,1,7,1,1,1,1,||aire acondicionado||||consumo: |238 kwh/m² año|||emisiones: |38 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace 4 días,Anuncio actualizado el 15 de diciembre,2022-12-19
91808694,Alquiler de Casa o chalet independiente en carretera de Vista Rica,"Sant Genís Dels Agudells - Montbau, Barcelona","Carretera de Vista Rica||Barrio Sant Genís Dels Agudells - Montbau||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Carretera de Vista Rica,Barrio Sant Genís Dels Agudells - Montbau,Barrio Sant Genís Dels Agudells - Montbau,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",8000,8000,268,2,2,1,0,segunda mano/buen estado,1928,0,1,1,0,1,0,0,0,||aire acondicionado|||jardín||||consumo: |27 kwh/m² año|||emisiones: |4 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace 7 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
98287091,Alquiler de Casa o chalet independiente en avenida del Tibidabo,"Sant Gervasi - La Bonanova, Barcelona","Avenida del Tibidabo||Barrio Sant Gervasi - La Bonanova||Distrito Sarrià-Sant Gervasi||Barcelona||Área de Barcelona, Barcelona",Distrito Sarrià-Sant Gervasi,Avenida del Tibidabo,Barrio Sant Gervasi - La Bonanova,Barrio Sant Gervasi - La Bonanova,Distrito Sarrià-Sant Gervasi,"Área de Barcelona, Barcelona",15000,15000,773,1,8,1,1,segunda mano/buen estado,1940,0,1,0,77,1,0,0,0,||aire acondicionado|||piscina||||consumo: |121 kwh/m² año|||emisiones: |22 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace 8 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
92328725,Alquiler de Ático en calle de Josep Sangenís,"La Teixonera, Barcelona","Calle de Josep Sangenís||Barrio La Teixonera||Distrito Horta Guinardó||Barcelona||Área de Barcelona, Barcelona",Distrito Horta Guinardó,Calle de Josep Sangenís,Barrio La Teixonera,Barrio La Teixonera,Distrito Horta Guinardó,"Área de Barcelona, Barcelona",2800,2800,150,4,2,1,1,segunda mano/buen estado,1978,0,0,0,7,1,1,1,1,||aire acondicionado||||en trámite|||,08035,Anuncio actualizado hace 7 horas,Anuncio actualizado el 19 de diciembre,2022-12-19
99857241,Alquiler de Casa o chalet independiente en calle de Goldoni,"Vallcarca i els Penitents, Barcelona","Calle de Goldoni||Barrio Vallcarca i els Penitents||Distrito Gràcia||Barcelona||Área de Barcelona, Barcelona",Distrito Gràcia,Calle de Goldoni,Barrio Vallcarca i els Penitents,Barrio Vallcarca i els Penitents,Distrito Gràcia,"Área de Barcelona, Barcelona",4500,4500,179,5,4,1,0,segunda mano/buen estado,1962,1,1,0,0,1,0,0,0,||aire acondicionado|||jardín||||consumo: |233 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||,08035,Anuncio actualizado hace 2 días,Anuncio actualizado el 17 de diciembre,2022-12-19
