"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","estudio","wc2","rooms2","log_price","terraza_balcon","flag_planta","new_planta"
"1",101635893,"Alquiler de Piso en El Raval","Ciutat Vella, Barcelona","|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1495,1495,70,2,1,0,0,"segunda mano/buen estado",1990,0,1,1,"0",1,0,0,0,"||consumo: |150 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 15 minutos","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.30988148582479,0,1,0
"2",96525984,"Alquiler de Piso en calle de l'Hort de la Bomba","El Raval, Barcelona","Calle de l'Hort de la Bomba|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de l'Hort de la Bomba","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1325,1325,86,2,2,0,0,"segunda mano/buen estado",1853,1,1,1,"bajo",1,0,1,1,"||aire acondicionado||||consumo: |26 kwh/m² año|||emisiones: |22 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 7 minutos","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","2",7.18916773842032,0,0,0
"3",82994333,"Alquiler de Piso en rambla del Raval","El Raval, Barcelona","Rambla del Raval|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Rambla del Raval","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1395,1395,65,2,1,0,1,"segunda mano/buen estado",NA,0,1,1,"planta 2",1,1,1,1,"||aire acondicionado||||consumo: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.24064969425547,1,0,2
"4",101459880,"Alquiler de Piso en calle dels Tallers","El Raval, Barcelona","Calle dels Tallers|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle dels Tallers","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2100,2100,156,2,2,0,0,"segunda mano/buen estado",1997,1,0,0,"planta 5",1,1,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","2",7.64969262371151,0,0,5
"5",101634651,"Alquiler de Piso en calle de Sant Bertran","El Raval, Barcelona","Calle de Sant Bertran|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de Sant Bertran","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",945,945,50,1,1,0,0,"segunda mano/buen estado",NA,1,1,1,"bajo",0,0,1,0,"||aire acondicionado||||consumo: |130 kwh/m² año|||emisiones: |100 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 12 horas","Anuncio actualizado el 4 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.85118492749374,0,0,0
"6",99304312,"Alquiler de Piso en calle del Notariat","El Raval, Barcelona","Calle del Notariat|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle del Notariat","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2000,2000,55,1,1,0,1,"segunda mano/buen estado",1929,1,1,1,"planta 3",1,1,1,1,"||aire acondicionado||||inmueble exento|||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",7.60090245954208,1,0,3
"7",101634715,"Alquiler de Piso en calle de la Paloma","El Raval, Barcelona","Calle de la Paloma|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle de la Paloma","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1800,1800,85,4,1,0,1,"segunda mano/buen estado",1930,1,1,1,"planta 1",1,0,1,1,"||aire acondicionado||||inmueble exento|||",8001,"Anuncio actualizado hace 12 horas","Anuncio actualizado el 4 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","4 or more",7.49554194388426,1,0,1
"8",99003620,"Alquiler de Piso en calle del Notariat","El Raval, Barcelona","Calle del Notariat|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Calle del Notariat","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2150,2150,70,2,1,0,0,"segunda mano/buen estado",1929,0,1,1,"planta 4",1,1,1,1,"||aire acondicionado||||inmueble exento|||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.67322312112171,0,0,4
"9",93083906,"Alquiler de Piso en rambla del Raval","El Raval, Barcelona","Rambla del Raval|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Rambla del Raval","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1250,1250,54,2,1,0,1,"segunda mano/buen estado",NA,0,1,1,"planta 2",1,0,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace un día","Anuncio actualizado el 3 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.13089883029635,1,0,2
"10",96978464,"Alquiler de Piso en pasaje Gutenberg","El Raval, Barcelona","Pasaje Gutenberg|Barrio El Raval|Distrito Ciutat Vella|Barcelona|Área de Barcelona, Barcelona","Pasaje Gutenberg","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2200,2200,65,2,1,1,0,"segunda mano/buen estado",2021,1,1,1,"planta 4",0,1,0,1,"||aire acondicionado|||piscina||||inmueble exento|||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 5 de junio","2023-06-05","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.69621263934641,1,0,4
