"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","estudio","wc2","rooms2","log_price","terraza_balcon"
"1",82140369,"Alquiler de Piso en calle del Portal de Santa Madrona, Barcelona","El Raval, Barcelona","Calle del Portal de Santa Madrona, Barcelona||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle del Portal de Santa Madrona, Barcelona","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",730,730,50,1,1,0,1,"segunda mano/buen estado",NA,0,0,0,5,0,1,0,1,"||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.59304453414244,1
"2",99487275,"Alquiler de Piso en calle Gravina","El Raval, Barcelona","Calle Gravina||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle Gravina","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",3100,3100,107,3,2,0,1,"segunda mano/buen estado",NA,1,1,1,1,1,1,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 23 minutos","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","3",8.03915739047324,1
"3",84651510,"Alquiler de Piso en calle de les Floristes de la Rambla, Barcelona","El Raval, Barcelona","Calle de les Floristes de la Rambla, Barcelona||Urb. Carrer de les Floristes de la Rambla||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de les Floristes de la Rambla, Barcelona","Urb. Carrer de les Floristes de la Rambla","Barrio El Raval","Barrio El Raval","Barcelona",1900,1900,100,3,2,0,1,"segunda mano/buen estado",NA,1,1,1,1,1,1,1,0,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","3",7.54960916515453,1
"4",98902671,"Alquiler de Piso en calle de la Reina Amàlia","El Raval, Barcelona","Calle de la Reina Amàlia||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Reina Amàlia","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2300,2300,80,2,2,0,0,"segunda mano/buen estado",2021,0,1,0,3,1,1,1,1,"||aire acondicionado||||consumo: |35 kwh/m² año|||emisiones: |35 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","2",7.74066440191724,0
"5",99569534,"Alquiler de Piso en calle de Peracamps","El Raval, Barcelona","Calle de Peracamps||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Peracamps","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1900,1900,100,1,1,1,0,"segunda mano/buen estado",NA,0,0,0,0,1,0,0,0,"||consumo: |227 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",7.54960916515453,1
"6",99569815,"Alquiler de Estudio en calle de la Reina Amàlia","El Raval, Barcelona","Calle de la Reina Amàlia||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Reina Amàlia","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",900,900,57,0,1,0,0,"segunda mano/buen estado",1900,0,1,1,3,1,0,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace una hora","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,1,"1","1",6.80239476332431,0
"7",84634635,"Alquiler de Piso en calle de les Floristes de la Rambla","El Raval, Barcelona","Calle de les Floristes de la Rambla||Urb. Carrer||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de les Floristes de la Rambla","Urb. Carrer","Barrio El Raval","Barrio El Raval","Barcelona",1750,1900,100,2,1,0,1,"segunda mano/buen estado",NA,1,1,1,1,1,1,1,0,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.46737106691756,1
"8",99124492,"Alquiler de Piso en Reina Amalia, 41","El Raval, Barcelona","Reina Amalia, 41||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Reina Amalia, 41","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1850,1850,85,3,2,0,0,"segunda mano/buen estado",NA,1,1,1,1,0,1,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","3",7.52294091807237,0
"9",99569126,"Alquiler de Piso en El Raval","Ciutat Vella, Barcelona","||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",2000,2000,95,3,2,1,1,"segunda mano/buen estado",1900,0,1,1,0,1,1,0,1,"||aire acondicionado|||zonas verdes||||no indicado|||",8001,"Anuncio actualizado hace 3 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","3",7.60090245954208,1
"10",98271520,"Alquiler de Piso en calle de Pelai","La Dreta de l'Eixample, Barcelona","Calle de Pelai||Barrio La Dreta de l'Eixample||Distrito Eixample||Barcelona||Área de Barcelona, Barcelona","Calle de Pelai","Barrio La Dreta de l'Eixample","Barrio La Dreta de l'Eixample","Distrito Eixample","Área de Barcelona, Barcelona",2415,2415,78,2,2,0,0,"segunda mano/buen estado",NA,1,1,1,0,0,1,1,1,"||aire acondicionado||||consumo: |139 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Eixample","dreta eixample","dreta eixample","dreta eixample",0,0,"2","2",7.78945456608667,0
